epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1144.3,1.86835,5.51865,0.00588,0.61064,0.62817,0.66059,0.29517,1.57641,5.33104,0.00577,0.000553435,0.000553435,0.000553435
2,1763.87,1.82028,2.9221,0.00578,0.61203,0.65762,0.63639,0.28337,1.6331,2.53259,0.00608,0.00109812,0.00109812,0.00109812
3,2687,1.84066,1.91473,0.0059,0.67986,0.66946,0.71184,0.31028,1.7497,1.56838,0.00648,0.00163181,0.00163181,0.00163181
4,3297.48,1.8348,1.65787,0.00594,0.67641,0.66116,0.71312,0.30879,1.60876,1.48993,0.00592,0.00161749,0.00161749,0.00161749
5,5600.34,1.83294,1.46526,0.00572,0.67404,0.6982,0.72815,0.3359,1.61663,1.34124,0.00596,0.00160099,0.00160099,0.00160099
6,7460.68,1.82195,1.43982,0.00564,0.68179,0.72146,0.76462,0.35482,1.53153,1.23845,0.00568,0.00158448,0.00158448,0.00158448
7,8394.11,1.84181,1.38153,0.0059,0.68041,0.72203,0.76141,0.33696,1.62517,1.18629,0.00608,0.00156798,0.00156798,0.00156798
8,9243.47,1.78767,1.3228,0.00563,0.62268,0.75488,0.74798,0.33569,1.60524,1.30607,0.00589,0.00155148,0.00155148,0.00155148
9,10084,1.79902,1.29296,0.00582,0.76154,0.73634,0.80435,0.37604,1.57927,1.10536,0.00582,0.00153497,0.00153497,0.00153497
10,10935.9,1.79383,1.24523,0.00585,0.74392,0.76261,0.78844,0.36657,1.61498,1.06296,0.0059,0.00151847,0.00151847,0.00151847
11,11646.8,1.76014,1.22202,0.00564,0.71918,0.77011,0.80954,0.36652,1.64126,1.07804,0.00616,0.00150197,0.00150197,0.00150197
12,12465.1,1.80164,1.22825,0.00587,0.66399,0.7166,0.71102,0.33864,1.5792,1.22655,0.00585,0.00148546,0.00148546,0.00148546
13,13286.3,1.7688,1.20173,0.00562,0.73292,0.75436,0.79295,0.38005,1.57892,1.03886,0.00584,0.00146896,0.00146896,0.00146896
14,13947.8,1.79214,1.14116,0.00574,0.7809,0.78247,0.83065,0.37965,1.65098,1.03395,0.00613,0.00145246,0.00145246,0.00145246
15,14733.3,1.75582,1.12538,0.00564,0.77866,0.77956,0.82858,0.37792,1.67575,1.00412,0.0063,0.00143595,0.00143595,0.00143595
16,15389.2,1.76673,1.14114,0.00564,0.7672,0.77337,0.81694,0.38173,1.6129,1.02777,0.00597,0.00141945,0.00141945,0.00141945
17,16060.9,1.74783,1.08235,0.00558,0.78349,0.7823,0.83015,0.38519,1.6101,1.04875,0.00597,0.00140295,0.00140295,0.00140295
18,16751.2,1.75775,1.09141,0.00556,0.68529,0.79404,0.7535,0.36194,1.61429,1.01098,0.006,0.00138644,0.00138644,0.00138644
19,17508.7,1.75869,1.0815,0.00557,0.79701,0.80871,0.86476,0.41137,1.61236,0.87273,0.00595,0.00136994,0.00136994,0.00136994
20,18152.7,1.73458,1.04619,0.00558,0.7622,0.80403,0.85274,0.39752,1.58983,0.92731,0.00591,0.00135344,0.00135344,0.00135344
21,18813.7,1.76039,1.05913,0.00557,0.79918,0.76566,0.8332,0.38592,1.63679,0.92464,0.00608,0.00133693,0.00133693,0.00133693
22,19567.5,1.75109,1.05959,0.00563,0.82616,0.78477,0.8595,0.40777,1.62845,0.91772,0.00605,0.00132043,0.00132043,0.00132043
23,20299.8,1.75601,1.04332,0.00545,0.79968,0.7835,0.85179,0.40919,1.57775,0.92688,0.00584,0.00130393,0.00130393,0.00130393
24,20924.8,1.73651,1.02621,0.0056,0.82499,0.7919,0.82776,0.3786,1.67115,0.89466,0.00618,0.00128742,0.00128742,0.00128742
25,21576.6,1.71652,0.99947,0.00556,0.7969,0.80132,0.86505,0.41216,1.62131,0.88972,0.00596,0.00127092,0.00127092,0.00127092
